"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.990555400E-2,1.723825186E-1,3.351882398E-1,9.806650162E0,9.813890884E0
2.439317000E-2,1.723825186E-1,2.968810201E-1,9.816226959E0,9.822228148E0
2.848240200E-2,1.819593310E-1,3.447650373E-1,9.873687744E0,9.881380561E0
3.248024900E-2,1.244984865E-1,4.213795066E-1,9.844957352E0,9.854757522E0
3.647725000E-2,1.532289088E-1,4.213795066E-1,9.854534149E0,9.864729245E0
4.047594300E-2,7.661445439E-2,4.979939461E-1,9.777919769E0,9.790892848E0
4.447386700E-2,1.436520964E-1,6.224924326E-1,9.749189377E0,9.770098580E0
4.847009900E-2,7.661445439E-2,6.799532771E-1,9.797073364E0,9.820939504E0
5.246856200E-2,3.830722719E-2,5.841852427E-1,9.720458984E0,9.738072844E0
5.646548600E-2,4.788403213E-2,5.746083856E-1,9.749189377E0,9.766225534E0
6.046456400E-2,-3.830722719E-2,4.118026793E-1,9.710882187E0,9.719685269E0
6.446333400E-2,-1.915361360E-2,4.022258818E-1,9.777919769E0,9.786208026E0
6.846025800E-2,-2.873042040E-2,3.351882398E-1,9.806650162E0,9.812418865E0
7.245749000E-2,3.830722719E-2,3.830722570E-1,9.854534149E0,9.862051262E0
7.645472200E-2,8.619125932E-2,4.405331016E-1,9.816226959E0,9.826485133E0
8.048456900E-2,3.830722719E-2,5.363011956E-1,9.806650162E0,9.821378407E0
8.448241600E-2,9.576806426E-2,5.171475410E-1,9.701305389E0,9.715551418E0
8.847964800E-2,4.788403213E-2,3.734954596E-1,9.835380554E0,9.842586163E0
9.247726400E-2,5.746084079E-2,3.543418646E-1,9.864110947E0,9.870640540E0
9.647380400E-2,5.746084079E-2,3.256114423E-1,9.835380554E0,9.840936704E0
1.004729580E-1,1.340752989E-1,3.064578176E-1,9.816226959E0,9.821924674E0
1.044723440E-1,1.244984865E-1,3.543418646E-1,9.883264542E0,9.890398173E0
1.084682680E-1,1.244984865E-1,3.447650373E-1,9.835380554E0,9.842208769E0
1.124651920E-1,1.340752989E-1,3.639186621E-1,9.806650162E0,9.814316093E0
1.164634240E-1,1.628057212E-1,4.501099288E-1,9.787496567E0,9.799193523E0
1.204625020E-1,1.436520964E-1,4.596867263E-1,9.806650162E0,9.818469087E0
1.244618110E-1,1.149216816E-1,3.830722570E-1,9.825803757E0,9.833939740E0
1.284578120E-1,1.723825186E-1,4.213795066E-1,9.854534149E0,9.865045348E0
1.324557360E-1,1.628057212E-1,4.309563041E-1,9.873687744E0,9.884429104E0
1.364839680E-1,1.053448766E-1,4.118026793E-1,9.854534149E0,9.863697192E0
1.404824300E-1,8.619125932E-2,3.830722570E-1,9.806650162E0,9.814507664E0
1.444815850E-1,-4.788403213E-2,6.703764945E-2,9.892841339E0,9.893184355E0
1.484759710E-1,0.000000000E0,1.532289088E-1,1.008437729E1,1.008554135E1
1.524751250E-1,0.000000000E0,3.639186621E-1,9.902418137E0,9.909102974E0
1.564722800E-1,-7.661445439E-2,3.543418646E-1,9.682151794E0,9.688936541E0
1.604705120E-1,8.619125932E-2,4.118026793E-1,9.768342972E0,9.777399184E0
1.644692050E-1,7.661445439E-2,5.171475410E-1,9.835380554E0,9.849265049E0
1.684652830E-1,1.915361360E-2,6.320692301E-1,9.758766174E0,9.779232875E0
1.724637460E-1,0.000000000E0,5.554547906E-1,9.682151794E0,9.698071633E0
1.764612850E-1,-4.788403213E-2,3.926490843E-1,9.730035782E0,9.738072833E0
1.804599790E-1,6.703764945E-2,5.554547906E-1,9.864110947E0,9.879965022E0
1.844579030E-1,-4.788403213E-2,4.118026793E-1,9.864110947E0,9.872819207E0
1.884550580E-1,4.788403213E-2,4.118026793E-1,9.806650162E0,9.815409402E0
1.924825200E-1,1.532289088E-1,4.979939461E-1,9.787496567E0,9.801355320E0
1.964812900E-1,1.053448766E-1,4.501099288E-1,9.835380554E0,9.846238223E0
2.004788300E-1,1.436520964E-1,4.118026793E-1,9.749189377E0,9.758940049E0
2.044788310E-1,-1.915361360E-2,2.489969730E-1,9.768342972E0,9.771534719E0
2.084741400E-1,7.661445439E-2,2.681505978E-1,9.911994934E0,9.915917410E0
2.124726790E-1,1.628057212E-1,4.884171486E-1,9.921571732E0,9.934920364E0
2.164702180E-1,7.661445439E-2,5.841852427E-1,9.682151794E0,9.700062141E0
